メーンディッシュ	main|dish	M_EY1_N|D_IH1_SH
ブルマーズ	bloomers	B_L_UW1_M_ER0_Z
ダミーレコード	dummy|record	D_AH1_M_IY0|R_AH0_K_AO1_R_D
タウン	town	T_AW1_N
ハイウェーカード	highway|card	HH_AY1_W_EY2|K_AA1_R_D
シャローム	shalom	SH_AH0_L_OW1_M
ヴァリエーション	variation	V_EH2_R_IY0_EY1_SH_AH0_N
ウィンナーソーセージ	vienna|sausage	V_IY0_EH1_N_AH0|S_AO1_S_AH0_JH
ハイドラ	hydra	HH_AY1_D_R_AH0
ウイルスシグネチャ	virus|signature	V_AY1_R_AH0_S|S_IH1_G_N_AH0_CH_ER0
ボディーチェック	body|check	B_AA1_D_IY0|CH_EH1_K
キャッチ	catch	K_AE1_CH
ジンジャーケーキ	ginger|cake	JH_IH1_N_JH_ER0|K_EY1_K
フィーメール	female	F_IY1_M_EY2_L
ジェリィ	jelly	JH_EH1_L_IY0
バージニティ	virginity	V_ER0_JH_IH1_N_IH0_T_IY0
ウェイ	way	W_EY1
アースワーム	earthworm	ER1_TH_W_ER2_M
フルヌード	full|nude	F_UH1_L|N_UW1_D
サウンドノベル	sound|novel	S_AW1_N_D|N_AA1_V_AH0_L
リング	ring	R_IH1_NG
インタロゲーション	interrogation	IH2_N_T_EH2_R_AH0_G_EY1_SH_AH0_N
スキャンダル	scandal	S_K_AE1_N_D_AH0_L
バーミューダパンツ	bermuda|pants	B_ER0_M_Y_UW1_D_AH0|P_AE1_N_T_S
ジョーボニング	jawboning	JH_AO1_B_OW2_N_IH0_NG
ダイヤルアウト	dial|out	D_AY1_AH0_L|AW1_T
ラウンドロビン	round|robin	R_AW1_N_D|R_AA1_B_AH0_N
モノセイズム	monotheism	M_AA1_N_AH0_TH_IY2_IH0_Z_AH0_M
ハツ	hearts	HH_AA1_R_T_S
エキスカーション	excursion	IH0_K_S_K_ER1_ZH_AH0_N
クォーターバック	quarterback	K_W_AO1_R_T_ER0_B_AE2_K
ウーハー	woofer	W_UH1_F_ER0
ソフィスティケーション	sophistication	S_AH0_F_IH2_S_T_AH0_K_EY1_SH_AH0_N
シェービングローション	shaving|lotion	SH_EY1_V_IH0_NG|L_OW1_SH_AH0_N
マイボール	my|ball	M_AY1|B_AO1_L
クオーツ	quartz	K_W_AO1_R_T_S
エレクトロニックコマース	electronic|commerce	IH2_L_EH2_K_T_R_AA1_N_IH0_K|K_AA1_M_ER0_S
デュース	deuce	D_UW1_S
ライアビリティー	liability	L_AY2_AH0_B_IH1_L_IH0_T_IY0
オンラインモード	online|mode	AO1_N_L_AY2_N|M_OW1_D
クロワッサン	croissant	K_W_AA2_S_AA1_N_T
ルビ	ruby	R_UW1_B_IY0
アクワイヤ	acquire	AH0_K_W_AY1_ER0
フレージング	phrasing	F_R_EY1_Z_IH0_NG
マルチラテラリズム	multilateralism	M_AH2_L_T_IH0_L_AE1_T_ER0_AH0_L_IH2_Z_AH0_M
トリッキー	tricky	T_R_IH1_K_IY0
イベントコンパニオン	event|componion	IH0_V_EH1_N_T|K_AH0_M_P_AE1_N_Y_AH0_N
バイオリン	violin	V_AY0_AH0_L_IH1_N
ライブラリファイル	library|file	L_AY1_B_R_EH0_R_IY2|F_AY1_L
プラグマティック	pragmatic	P_R_AE0_G_M_AE1_T_IH0_K
ワイド	wide	W_AY1_D
ニューススタンド	newsstand	N_UW1_Z_S_T_AE2_N_D
ビームライフル	beam|rifle	B_IY1_M|R_AY1_F_AH0_L
ホーボー	hobo	HH_OW1_B_OW0
イレクト	elect	IH0_L_EH1_K_T
スキャベンジャー	scavenger	S_K_AE1_V_AH0_N_JH_ER0
ブルーエンゼル	blue|angel	B_L_UW1|EY1_N_JH_AH0_L
ホールディング	holding	HH_OW1_L_D_IH0_NG
フェーストゥフェース	face-to-face	F_EY1_S_T_UW0_F_EY1_S
マイホーム	my|home	M_AY1|HH_OW1_M
ミーティアライト	meteorite	M_IY1_T_IY0_AO0_R_AY2_T
モットー	motto	M_AA1_T_OW0
インターフェースビルダ	interface|builder	IH1_N_T_ER0_F_EY2_S|B_IH1_L_D_ER0
タイダル	tidal	T_AY1_D_AH0_L
フォロースルー	follow|through	F_AA1_L_OW0|TH_R_UW1
トークニズム	tokenism	T_OW1_K_AH0_N_IH2_Z_AH0_M
コンテナーバッグ	container|bag	K_AH0_N_T_EY1_N_ER0|B_AE1_G
ラスク	rusk	R_AH1_S_K
グラフイック	graphic	G_R_AE1_F_IH0_K
スターシステム	star|system	S_T_AA1_R|S_IH1_S_T_AH0_M
バケツ	bucket	B_AH1_K_IH0_T
ルートサーバ	route|server	R_UW1_T|S_ER1_V_ER0
マネーリザーブファンド	money|reserve|fund	M_AH1_N_IY0|R_IH0_Z_ER1_V|F_AH1_N_D
ドナー	donor	D_OW1_N_ER0
アタッシュケース	attache|case	AE2_T_AH0_SH_EY1|K_EY1_S
ロータリードライヤー	rotary|dryer	R_OW1_T_ER0_IY0|D_R_AY1_ER0
プラスチックボール	plastic|ball	P_L_AE1_S_T_IH0_K|B_AO1_L
サンオイル	sun|oil	S_AH1_N|OY2_L
バラスト	ballast	B_AE1_L_AH0_S_T
キセノン	xenon	Z_IY1_N_AA0_N
クーキーガール	kooky|girl	K_UW1_K_IY0|G_ER1_L
ユニーク	unique	Y_UW0_N_IY1_K
エグゼック	exec	EH2_G_Z_EH1_K
システムプランナー	system|planner	S_IH1_S_T_AH0_M|P_L_AE1_N_ER0
タリスマン	talisman	T_AE1_L_IH0_S_M_AH0_N
ホンジュラス	honduras	HH_AA0_N_D_UH1_R_AH0_S
アドバイザリー	advisory	AE0_D_V_AY1_Z_ER0_IY0
ブレーブ	brave	B_R_EY1_V
ジュウリー	jewelry	JH_UW1_AH0_L_R_IY0
スティック	stick	S_T_IH1_K
ハドック	haddock	HH_AE1_D_AH0_K
リミテーション	limitation	L_IH2_M_IH0_T_EY1_SH_AH0_N
リプル	ripple	R_IH1_P_AH0_L
アブストラクトゲーム	abstract|game	AE0_B_S_T_R_AE1_K_T|G_EY1_M
ファイブ	five	F_AY1_V
コールドクリーム	cold|cream	K_OW1_L_D|K_R_IY1_M
ワンタイムパスワード	one-time|password	W_AH1_T_AY2_M|P_AE1_S_W_ER2_D
アドレスバス	address|bus	AE1_D_R_EH2_S|B_AH1_S
トレーニー	trainee	T_R_EY1_N_IY1
ボンボヤージュ	bon|voyage	B_AA1_N|V_OY1_AH0_JH
ローカルディスク	local|disk	L_OW1_K_AH0_L|D_IH1_S_K
トラスティ	trustee	T_R_AH2_S_T_IY1
フィッシャー	fisher	F_IH1_SH_ER0
ポリネシア	polynesia	P_AA2_L_IH2_N_IY1_ZH_AH0
ライトニングトーク	lightning|talk	L_AY1_T_N_IH0_NG|T_AO1_K
クリエイタ	creator	K_R_IY0_EY1_T_ER0
プロポーズ	proposal	P_R_AH0_P_OW1_Z_AH0_L
スクリーンエディタ	screen|editor	S_K_R_IY1_N|EH1_D_AH0_T_ER0
リテンション	retention	R_IY0_T_EH1_N_SH_AH0_N
スモガスボード	smorgasbord	S_M_AO1_R_G_AH0_S_B_AO2_R_D
フォーマルウエア	formal|wear	F_AO1_R_M_AH0_L|W_EH1_R
ブロゴスフィア	blogosphere	B_L_AO1_G_AO0_S_F_IY1_R
シェービングクリーム	shaving|cream	SH_EY1_V_IH0_NG|K_R_IY1_M
オールドファン	old|fan	OW1_L_D|F_AE1_N
リトルトーキョー	little|tokyo	L_IH1_T_AH0_L|T_OW1_K_IY0_OW2
ウォーターゲート	watergate	W_AO1_T_ER0_G_EY2_T
ユーラシアプレート	eurasia|plate	Y_UH0_R_EY1_ZH_AH0|P_L_EY1_T
マリーナ	marina	M_ER0_IY1_N_AH0
ドラッグクイーン	drag|queen	D_R_AE1_G|K_W_IY1_N
エキスプレス	express	IH0_K_S_P_R_EH1_S
オシロスコープ	oscilloscope	AO2_S_IH1_L_AH0_S_K_OW2_P
ワンマンショー	one-man|show	W_AH2_M_AE1_N|SH_OW1
キッチンプログラマー	kitchen|programmer	K_IH1_CH_AH0_N|P_R_OW1_G_R_AE2_M_ER0
ショートプラグ	short|plug	SH_AO1_R_T|P_L_AH1_G
ドラムセット	drum|set	D_R_AH1_M|S_EH1_T
ワールドミュージック	world|music	W_ER1_L_D|M_Y_UW1_Z_IH0_K
メディシンボール	medicine|ball	M_EH1_D_AH0_S_AH0_N|B_AO1_L
ソーシャルエコロジー	social|ecology	S_OW1_SH_AH0_L|IH0_K_AA1_L_AH0_JH_IY0
ローズマリー	rosemary	R_OW1_Z_M_EH2_R_IY0
ルートメニュー	route|menu	R_UW1_T|M_EH1_N_Y_UW0
パイル	pile	P_AY1_L
リプレー	replay	R_IY0_P_L_EY1
アクロポリス	acropolis	AH0_K_R_AA1_P_AH0_L_AH0_S
ゲートボール	gate|ball	G_EY1_T|B_AO1_L
エクサイティング	exciting	IH0_K_S_AY1_T_IH0_NG
ンビラ	mbira	M_AH0_B_IH1_R_AH0
ナード	nerd	N_ER1_D
ハウス	house	HH_AW1_S
モデルガン	model|gun	M_AA1_D_AH0_L|G_AH1_N
アクティブマトリックス	active|matrix	AE1_K_T_IH0_V|M_EY1_T_R_IH0_K_S
トレーニングウェア	training|wear	T_R_EY1_N_IH0_NG|W_EH1_R
デーリー	daily	D_EY1_L_IY0
カードプロテクター	card|protector	K_AA1_R_D|P_R_AH0_T_EH1_K_T_ER0
マリッジブルー	marriage|blue	M_EH1_R_IH0_JH|B_L_UW1
フェデラル	federal	F_EH1_D_ER0_AH0_L
エリアコード	area|code	EH1_R_IY0_AH0|K_OW1_D
インテリジェンスサービス	intelligence|service	IH2_N_T_EH1_L_AH0_JH_AH0_N_S|S_ER1_V_AH0_S
イアピアス	ear|pierce	IY1_R|P_IH1_R_S
フォーラムディスカッション	forum|discussion	F_AO1_R_AH0_M|D_IH0_S_K_AH1_SH_AH0_N
フォルト	fault	F_AO1_L_T
インカム	income	IH1_N_K_AH2_M
パララックス	parallax	P_EH1_R_AH0_L_AE2_K_S
ファンドマネジャー	fund|manager	F_AH1_N_D|M_AE1_N_AH0_JH_ER0
ウッドメタル	wood|metal	W_UH1_D|M_EH1_T_AH0_L
ポアズ	poise	P_OY1_Z
マージ	merge	M_ER1_JH
ボイスメール	voice|mail	V_OY1_S|M_EY1_L
スカッシュ	squash	S_K_W_AA1_SH
レベルアップ	level|up	L_EH1_V_AH0_L|AH1_P
ビーン	bean	B_IY1_N
セクシーポーズ	sexy|pose	S_EH1_K_S_IY0|P_OW1_Z
テレビジョンスポット	television|spot	T_EH1_L_IH0_V_IH0_ZH_AH0_N|S_P_AA1_T
タイムトラベラー	time|traveler	T_AY1_M|T_R_AE1_V_AH0_L_ER0
ハウスボート	house|boat	HH_AW1_S|B_OW1_T
キロワット	kilowatt	K_IH1_L_AH0_W_AA2_T
アミューズメントセンター	amusement|center	AH0_M_Y_UW1_Z_M_AH0_N_T|S_EH1_N_T_ER0
ドゥーム	doom	D_UW1_M
ドネーション	donation	D_OW0_N_EY1_SH_AH0_N
レンチル	lentil	L_EH1_N_T_AH0_L
エンドルフィン	endorphin	EH0_N_D_AO1_R_F_IH0_N
カーワックス	car|wax	K_AA1_R|W_AE1_K_S
メタルフレーム	metal|frame	M_EH1_T_AH0_L|F_R_EY1_M
マネキンガール	mannequin|girl	M_AE1_N_AH0_K_IH0_N|G_ER1_L
リジョン	region	R_IY1_JH_AH0_N
ストレングス	strength	S_T_R_EH1_NG_K_TH
アッパーミドルクラス	upper|middle|class	AH1_P_ER0|M_IH1_D_AH0_L|K_L_AE1_S
ナッシュビル	nashville	N_AE1_SH_V_IH0_L
ファイヤーウォール	firewall	F_AY1_R_W_AA0_L
カーボン	carbon	K_AA1_R_B_AH0_N
ハイブランド	high|brand	HH_AY1|B_R_AE1_N_D
ドクトリン	doctrine	D_AO1_K_T_ER0_IH0_N
グランパ	grandpa	G_R_AE1_N_D_P_AA2
カートリッジテープドライブ	cartridge|tape|drive	K_AA1_R_T_R_AH0_JH|T_EY1_P|D_R_AY1_V
ラッカー	lacquer	L_AE1_K_ER0
ランダムウォーク	random|walk	R_AE1_N_D_AH0_M|W_AO1_K
シンクロナイゼーション	synchronization	S_IH2_NG_K_R_AH0_N_AH0_Z_EY1_SH_AH0_N
グラウンドワーク	groundwork	G_R_AW1_N_D_W_ER2_K
ニューデリー	new|delhi	N_UW1|D_EH1_L_IY0
シア	shea	SH_EY1
リノベーション	renovation	R_EH2_N_AH0_V_EY1_SH_AH0_N
ホルマント	formant	F_AO1_R_M_AH0_N_T
レッスン	lesson	L_EH1_S_AH0_N
マッシュポテト	mash|potato	M_AE1_SH|P_AH0_T_EY1_T_OW2
インタフェースモジュール	interface|module	IH1_N_T_ER0_F_EY2_S|M_AO1_JH_UW0_L
ウオークインクロゼット	walk-in|closet	W_AO1_K_IH2_N|K_L_AA1_Z_AH0_T
オリーブ	olive	AA1_L_IH0_V
トラベルセット	travel|set	T_R_AE1_V_AH0_L|S_EH1_T
ドアエンジン	door|engine	D_AO1_R|EH1_N_JH_AH0_N
パトリアルク	patriarch	P_EY1_T_R_IY0_AA2_R_K
ダブルクォーテーション	double|quotation	D_AH1_B_AH0_L|K_W_OW0_T_EY1_SH_AH0_N
カレンダープログラム	calendar|program	K_AE1_L_AH0_N_D_ER0|P_R_OW1_G_R_AE2_M
ピケ	pique	P_IY1_K
スコッチテリア	scotch|terrier	S_K_AA1_CH|T_EH1_R_IY0_ER0
アントロポロジー	anthropology	AE2_N_TH_R_AH0_P_AA1_L_AH0_JH_IY0
セックスチェック	sex|check	S_EH1_K_S|CH_EH1_K
セントクリストファーネイビス	saint|christopher|nevis	S_EY1_N_T|K_R_IH1_S_T_AH0_F_ER0|N_EH1_V_IH0_S
テークオーバー	take|over	T_EY1_K|OW1_V_ER0
コロネーション	coronation	K_AO2_R_AH0_N_EY1_SH_AH0_N
メアンダー	meander	M_IY0_AE1_N_D_ER0
ビザンチン	byzantine	B_IH1_Z_AH0_N_T_AY2_N
イベントログエントリー	event|log|entry	IH0_V_EH1_N_T|L_AO1_G|EH1_N_T_R_IY0
フェーシャル	facial	F_EY1_SH_AH0_L
コンテナターミナル	container|terminal	K_AH0_N_T_EY1_N_ER0|T_ER1_M_IH0_N_AH0_L
バッチ	badge	B_AE1_JH
メーティングコール	mating|call	M_EY1_T_IH0_NG|K_AO1_L
デージー	daisy	D_EY1_Z_IY0
プラチナ	platinum	P_L_AE1_T_N_AH0_M
ファンタジー	fantasy	F_AE1_N_T_AH0_S_IY0
シンクタンカー	think|tanker	TH_IH1_NG_K|T_AE1_NG_K_ER0
チャージャ	charger	CH_AA1_R_JH_ER0
チルト	tilt	T_IH1_L_T
ダブルコンティンジェンシー	double|contingency	D_AH1_B_AH0_L|K_AH0_N_T_IH1_N_JH_AH0_N_S_IY0
カーボンマイクロホン	carbon|microphone	K_AA1_R_B_AH0_N|M_AY1_K_R_AH0_F_OW2_N
エデュ	edu	EH1_D_Y_UW0
デッキチェア	deck|chair	D_EH1_K|CH_EH1_R
フリーカルチャー	free|culture	F_R_IY1|K_AH1_L_CH_ER0
スクリーンセーバ	screen|saver	S_K_R_IY1_N|S_EY1_V_ER0
ミニチュアカード	miniature|card	M_IH1_N_IY0_AH0_CH_UH2_R|K_AA1_R_D
ティラノサウルスレックス	tyrannosaurus|rex	T_IH0_R_AE0_N_AH0_S_AO1_R_AH0_S|R_EH1_K_S
インチ	inch	IH1_N_CH
スクロース	sucrose	S_UW1_K_R_OW0_S
ブラッスリー	brasserie	B_R_AE1_S_AH0_R_IY2
パビリオン	pavilion	P_AH0_V_IH1_L_Y_AH0_N
シャイフ	sheikh	SH_IY1_K
リンカー	linker	L_IH1_NG_K_ER0
アスファルトジャングル	asphalt|jungle	AE1_S_F_AO2_L_T|JH_AH1_NG_G_AH0_L
アクラ	accra	AA1_K_R_AA2
フェリーボート	ferryboat	F_EH1_R_IY0_B_OW2_T
ジャパンレールパス	japan|rail|pass	JH_AH0_P_AE1_N|R_EY1_L|P_AE1_S
アドバンスドオープンウオーターダイバー	advanced|open|water|diver	AH0_D_V_AE1_N_S_T|OW1_P_AH0_N|W_AO1_T_ER0|D_AY1_V_ER0
ビバレッジ	beverage	B_EH1_V_ER0_IH0_JH
アイシー	icy	AY1_S_IY0
パーティクル	particle	P_AA1_R_T_AH0_K_AH0_L
スキューバ	scuba	S_K_UW1_B_AH0
ブローホール	blowhole	B_L_OW1_HH_OW2_L
イマージェンシー	emergency	IH0_M_ER1_JH_AH0_N_S_IY0
クロシェット	crochet	K_R_OW0_SH_EY1
アウトフィールダー	outfielder	AW1_T_F_IY2_L_D_ER0
バニッシュ	varnish	V_AA1_R_N_IH0_SH
ネームロンダリング	name|laundering	N_EY1_M|L_AO1_N_D_ER0_IH0_NG
ユタ	utah	Y_UW1_T_AO2
ハードディスクドライブ	hard|disk|drive	HH_AA1_R_D|D_IH1_S_K|D_R_AY1_V
インセストタブー	incest|taboo	IH1_N_S_EH2_S_T|T_AE0_B_UW1
デフォールト	default	D_IH0_F_AO1_L_T
トマトピューレー	tomato|puree	T_AH0_M_EY1_T_OW2|P_Y_UH0_R_EY1
アームチェアディテクティブ	armchair|detective	AA1_R_M_CH_EH2_R|D_IH0_T_EH1_K_T_IH0_V
カロリー	calorie	K_AE1_L_AO0_R_IY2
プレミアム	premium	P_R_IY1_M_IY0_AH0_M
アジェイスント	adjacent	AH0_JH_EY1_S_AH0_N_T
ヴァリエテ	variety	V_ER0_AY1_AH0_T_IY0
ホーア	whore	HH_AO1_R
ブラッド	blood	B_L_AH1_D
グーラッシュ	goulash	G_UW1_L_AA2_SH
ターボジェット	turbojet	T_ER1_B_OW0_JH_EH2_T
ウォータースポーツ	water|sports	W_AO1_T_ER0|S_P_AO1_R_T_S
スノータイヤ	snow|tire	S_N_OW1|T_AY1_ER0
ミス	myth	M_IH1_TH
オルガン	organ	AO1_R_G_AH0_N
モーニングシャワー	morning|shower	M_AO1_R_N_IH0_NG|SH_AW1_ER0
フューネラルマーチ	funeral|march	F_Y_UW1_N_ER0_AH0_L|M_AA1_R_CH
ワレズ	warez	W_EH1_R_Z
ダムハブ	dumb|hub	D_AH1_M|HH_AH1_B
キャリアセンス	carrier|sense	K_AE1_R_IY0_ER0|S_EH1_N_S
テニス	tennis	T_EH1_N_AH0_S
オルトルイズム	altruism	AE1_L_T_R_UW0_IH2_Z_AH0_M
ベクタグラフィックス	vector|graphics	V_EH1_K_T_ER0|G_R_AE1_F_IH0_K_S
ホワイエ	foyer	F_OY1_ER0
テイスト	taste	T_EY1_S_T
カービン	carbine	K_AA1_R_B_AY2_N
コーン	cone	K_OW1_N
グレイン	grain	G_R_EY1_N
リスケジュール	reschedule	R_IY0_S_K_EH1_JH_UW0_L
ポーラータイ	bola|tie	B_OW1_L_AH0|T_AY1
フレンチネイル	french|nail	F_R_EH1_N_CH|N_EY1_L
テクニーク	technique	T_EH0_K_N_IY1_K
アンブレラ	umbrella	AH0_M_B_R_EH1_L_AH0
バーニャ	banya	B_AA1_N_Y_AH0
ターポン	tarpon	T_AA1_R_P_AH0_N
ネーティブアメリカン	native|american	N_EY1_T_IH0_V|AH0_M_EH1_R_IH0_K_AH0_N
ポジショントーク	position|talk	P_AH0_Z_IH1_SH_AH0_N|T_AO1_K
システムソフトウエア	system|software	S_IH1_S_T_AH0_M|S_AO1_F_T_W_EH2_R
タイガーエンジェルフィッシュ	tiger|angelfish	T_AY1_G_ER0|EY1_N_JH_AH0_L_F_IH2_SH
レーダーサイト	radar|site	R_EY1_D_AA2_R|S_AY1_T
サンクコスト	sunk|cost	S_AH1_NG_K|K_AA1_S_T
ギーク	geek	G_IY1_K
ダコタ	dakota	D_AH0_K_OW1_T_AH0
マイム	mime	M_AY1_M
フモール	humor	HH_Y_UW1_M_ER0
スパイクヒール	spike|heel	S_P_AY1_K|HH_IY1_L
センター	centre	S_EH1_N_T_ER0
パームレスト	palm|rest	P_AA1_M|R_EH1_S_T
カラーコピー	color|copy	K_AH1_L_ER0|K_AA1_P_IY0
ドイモイ	doi|moi	D_OY1|M_W_AA1
マネーローンダリング	money|laundering	M_AH1_N_IY0|L_AO1_N_D_ER0_IH0_NG
ミドルエンド	middle|end	M_IH1_D_AH0_L|EH1_N_D
ラタトゥイユ	ratatouille	R_AE2_T_AH0_T_UW1_Y
プランナー	planner	P_L_AE1_N_ER0
ポケットモデム	pocket|modem	P_AA1_K_AH0_T|M_OW1_D_AH0_M
フィギュアスケート	figure|skate	F_IH1_G_Y_ER0|S_K_EY1_T
オリンピック	olympic	OW0_L_IH1_M_P_IH0_K
サジェスト	suggest	S_AH0_JH_EH1_S_T
シューズボックス	shoe|box	SH_UW1|B_AA1_K_S
ネットスラング	net|slang	N_EH1_T|S_L_AE1_NG
ナイトダイブ	night|dive	N_AY1_T|D_AY1_V
ツーリストビューロー	tourist|bureau	T_UH1_R_AH0_S_T|B_Y_UH1_R_OW0
ミルキングアクション	milking|action	M_IH1_L_K_IH0_NG|AE1_K_SH_AH0_N
スロット	slot	S_L_AA1_T
バンアレン	van|allen	V_AE1_N|AE1_L_AH0_N
スポーツカー	sports|car	S_P_AO1_R_T_S|K_AA1_R
ソフィスティケート	sophistication	S_AH0_F_IH2_S_T_AH0_K_EY1_SH_AH0_N
コンセンサス	consensus	K_AH0_N_S_EH1_N_S_AH0_S
ストラテジー	strategy	S_T_R_AE1_T_AH0_JH_IY0
ローキック	low|kick	L_OW1|K_IH1_K
ウィルスプロテクション	virus|protection	V_AY1_R_AH0_S|P_R_AH0_T_EH1_K_SH_AH0_N
ジョギングパンツ	jogging|pants	JH_AA1_G_IH0_NG|P_AE1_N_T_S
ピッチシフター	pitch|shifter	P_IH1_CH|SH_IH1_F_T_ER0
タッチフリック	touch|flick	T_AH1_CH|F_L_IH1_K
ローカルテレビジョン	local|television	L_OW1_K_AH0_L|T_EH1_L_AH0_V_IH2
ベイオネット	bayonet	B_EY1_AH0_N_EH2_T
カンバス	canvas	K_AE1_N_V_AH0_S
スムーズ	smooth	S_M_UW1_DH
エレクトリカルキー	electrical|key	IH0_L_EH1_K_T_R_IH0_K_AH0_L|K_IY1
シチュエーション	situation	S_IH2_CH_UW0_EY1_SH_AH0_N
エディトリアルデザイン	editorial|design	EH2_D_AH0_T_AO1_R_IY0_AH0_L|D_IH0_Z_AY1_N
ドットフォント	dot|font	D_AA1_T|F_AA1_N_T
デザイア	desire	D_IH0_Z_AY1_ER0
インプット	input	IH1_N_P_UH2_T
ナチュラルセレクション	natural|selection	N_AE1_CH_ER0_AH0_L|S_AH0_L_EH1_K_SH_AH0_N
ノミネート	nominate	N_AA1_M_AH0_N_EY2_T
バックアップファイル	backup|file	B_AE1_K_AH2_P|F_AY1_L
ライナーノート	liner|note	L_AY1_N_ER0|N_OW1_T
アンカー	anchor	AE1_NG_K_ER0
デビュタント	debutante	D_EH1_B_Y_AH0_T_AA1_N_T
プラトー	plateau	P_L_AE0_T_OW1
スクイージ	squeegee	S_K_W_IY1_JH_IY0
ナショナルインタレスト	national|interest	N_AE1_SH_AH0_N_AH0_L|IH1_N_T_AH0_R_EH2_S_T
バースプラン	birth|plan	B_ER1_TH|P_L_AE1_N
ソーラー	solar	S_OW1_L_ER0
コンクリトミキサ	concrete|mixer	K_AH0_N_K_R_IY1_T|M_IH1_K_S_ER0
ロード	road	R_OW1_D
ワナビ	wannabe	W_AA1_N_AH0_B_IY2
トモグラフィ	tomography	T_OW0_M_OW1_G_R_AE0_F_IY2
スターアニス	star|anise	S_T_AA1_R|AE1_N_AH0_S
バイオセンサ	biosensor	B_AY2_OW0_S_EH1_N_S_ER0
タイムスタンプカウンタ	time|stamp|counter	T_AY1_M|S_T_AE1_M_P|K_AW1_N_T_ER0
ブロードキャスティング	broadcasting	B_R_AO1_D_K_AE2_S_T_IH0_NG
ダウンシフト	down|shift	D_AW1_N|SH_IH1_F_T
スノーガン	snow|gun	S_N_OW1|G_AH1_N
アンスポーツマンライクファウル	unsportsmanlike|foul	AH0_N_S_P_AO1_R_T_S_M_AH0_N_L_AY2_K|F_AW1_L
キャラクタービジネス	character|business	K_EH1_R_IH0_K_T_ER0|B_IH1_Z_N_AH0_S
コルチゾール	cortisol	K_AO1_R_T_IH0_S_AO2_L
ロジスティクス	logistics	L_AH0_JH_IH1_S_T_IH0_K_S
アウトカウント	out|count	AW1_T|K_AW1_N_T
ワガドゥーグー	ouagadougou	W_AA2_G_AH0_D_UW1_G_UW0
センテンス	sentence	S_EH1_N_T_AH0_N_S
コーチング	coaching	K_OW1_CH_IH0_NG
ナルシズム	narcissism	N_AA1_R_S_IH0_S_IH2_Z_AH0_M
アトラクト	attract	AH0_T_R_AE1_K_T
ファセット	facet	F_AE1_S_AH0_T
サマーストック	summer|stock	S_AH1_M_ER0|S_T_AA1_K
セメスター	semester	S_AH0_M_EH1_S_T_ER0
コンピューターシステム	computer|system	K_AH0_M_P_Y_UW1_T_ER0|S_IH1_S_T_AH0_M
シェアクロッパー	sharecropper	SH_EH1_R_K_R_AA2_P_ER0
ラックマウント	rack|mount	R_AE1_K|M_AW1_N_T
アクアマリン	aquamarine	AA2_K_W_AH0_M_ER0_IY1_N
ファンファーレ	fanfare	F_AE1_N_F_EH2_R
ボクサーパンツ	boxer|pants	B_AA1_K_S_ER0|P_AE1_N_T_S
キューティクルリムーバー	cuticle|remover	K_Y_UW1_T_AH0_K_AH0_L|R_IH0_M_UW1_V_ER0
チェリスト	cellist	CH_EH1_L_AH0_S_T
インターネットユーザー	internet|user	IH1_N_T_ER0_N_EH2_T|Y_UW1_Z_ER0
メークドラマ	make|drama	M_EY1_K|D_R_AH0_M_AH0
ハーフウエー	halfway	HH_AE1_F_W_EY1
バゲッジ	baggage	B_AE1_G_IH0_JH
ビジネストラヒック	business|traffic	B_IH1_Z_N_AH0_S|T_R_AE1_F_IH0_K
ノイローゼ	neurosis	N_UH0_R_OW1_S_AH0_S
ピエ	pied	P_AY1_D
ゾーディアック	zodiac	Z_OW1_D_IY0_AE2_K
イラク	iraq	IH2_R_AA1_K
ミード	mead	M_IY1_D
ハヤシ	hash	HH_AE1_SH
ピッツァ	pizza	P_IY1_T_S_AH0
アーシー	earthy	ER1_TH_IY0
ジョッギング	jogging	JH_AA1_G_IH0_NG
リハビリテーション	rehabilitation	R_IY2_HH_AH0_B_IH2_L_AH0_T_EY1_SH_AH0_N
ノーモア	no|more	N_OW1|M_AO1_R
アールブリュト	art|brut	AA1_R_T|B_R_UW1_T
カクテイル	cocktail	K_AA1_K_T_EY2_L
オブジェクション	objection	AH0_B_JH_EH1_K_SH_AH0_N
タイプファミリ	type|family	T_AY1_P|F_AE1_M_AH0_L_IY0
ヌーヴェル	nouvelle	N_UW2_V_EH1_L
アーバンデザイナー	urban|designer	ER1_B_AH0_N|D_IH0_Z_AY1_N_ER0
ツールバーボタン	toolbar|button	T_UW1_L_B_AA2_R|B_AH1_T_AH0_N
ディプロマット	diplomat	D_IH1_P_L_AH0_M_AE2_T
カリキュラム	curriculum	K_ER0_IH1_K_Y_AH0_L_AH0_M
シーサイドリゾート	seaside|resort	S_IY1_S_AY2_D|R_IH0_Z_AO1_R_T
フィフティーフィフティー	fifty|fifty	F_IH1_F_T_IY0|F_IH1_F_T_IY0
ワイドバンド	wide|band	W_AY1_D|B_AE1_N_D
チャズブル	chasuble	CH_AA1_S_UW2_B_AH0_L
バックストップ	backstop	B_AE1_K_S_T_AA2_P
スー	sioux	S_UW1
コネクトチャージ	connect|charge	K_AH0_N_EH1_K_T|CH_AA1_R_JH
ローカルバスビデオ	local|bus|video	L_OW1_K_AH0_L|B_AH1_S|V_IH1_D_IY0_OW0
エッチング	etching	EH1_CH_IH0_NG
