フルーツサラダ	fruits salad
ラバータイル	rubber tile
セーフティーバルブ	safety valve
アーマープレート	armor plate
フィッシュナイフ	fish knife
スポーツバッグ	sports bag
ジャンプボール	jump ball
ブルースハープ	blues harp
タスマニアアボリジニ	tasmania aborigine
オプティカルスキャナ	optical scanner
ファンサイト	fan site
ドットゲイン	dot gain
コロラトゥーラソプラノ	coloratura soprano
ボールアンパイア	ball umpire
ライトプロテクト	write protect
ベッドシーン	bed scene
ホモファベル	homo faber
グレービーボート	gravy boat
レポートライン	report line
ボディライン	body line
ゲイパレード	gay parade
オーブンミット	oven mitt
パワーアンプ	power amp
プライスリーダー	price leader
アプリケーションテクノロジ	application technology
ホームアンドアウエー	home and away
ブロックゲージ	block gauge
ビジネスアセスメント	business assessment
パレットサージョン	palette surgeon
ビデオバッファ	video buffer
セカンドライフ	second life
ルビーガラス	ruby glass
デジュリ	de jure
キーストローク	key stroke
トラックアップ	track up
スキーブーツ	ski boots
ウエアハウスストア	warehouse store
モーターホテル	motor hotel
アプリケーションサービス	application service
ニアリーイコール	nearly equal
フィードストックリサイクル	feedstock recycle
タイトバック	tight back
ブルーシート	blue sheet
ウエイティングルーム	waiting room
ハンドミキサー	handle mixer
ワイルドカード	wild card
ロッキングチェアー	rocking chair
シャトーワイン	chateau wine
カセットブック	cassette book
アーカイバルファイル	archival file
ポップカントリー	pop country
ベビーフェイス	baby face
スノーガン	snow gun
ガールズグループ	girls group
リファレンスガイド	reference guide
ホワイトスレイブリ	white slavery
プライバシーポリシー	privacy policy
ツーリングカー	touring car
ウェストバージニア	west virginia
ドライブバイインストール	drive by install
ディエスカレーション	de escalation
メルバトースト	melba toast
ベースキャンプ	base camp
オールターナティブスクール	alternative school
レトロゲーム	retro game
スターウォッチング	star watching
ゴンドラリフト	gondola lift
トロイオンス	troy ounce
パーマネントプリーツ	permanent pleats
スマートエントリー	smart entry
ビルトイン	built in
オリジナルプリント	original print
ランニングバック	running back
ベビィドール	baby doll
サファリレース	safari race
ディスクカートリッジ	disk cartridge
ドアチェーン	door chain
フレキシブルアドバンストアーキテクチャシステム	flexible advanced architecture system
インフォメーションセオリー	information theory
チャイナシンドローム	china syndrome
オールパス	all pass
ストリートスナップ	street snap
カレーパウダー	curry powder
クッキングカード	cooking card
セカンドレイプ	second rape
メーンディッシュ	main dish
インテグレーティドルーチング	integrated routing
ダークファイバ	dark fiber
プライズマネー	prize money
キャッチアップ	catch up
コミューターサービス	commuter service
インサイドリポート	revealing report
アイデンティティクライシス	identity crisis
ドロンゲーム	drawn game
マッサージチェアー	massage chair
キャノンショット	cannon shot
アーモンドパウダー	almond powder
パイプラインデザイナ	pipeline designer
コードセンシティブ	code sensitive
トロピカルフィッシュ	tropical fish
ソフトドリンク	soft drink
シガレットパンツ	cigarette pants
アルカーイダ	al qaeda
バントエンドラン	bunt and run
アーバンデザイナー	urban designer
カフェカーテン	cafe curtain
マイクロケーション	mic location
ハイテンション	high tension
オーディオブック	audio book
リーディングカンパニー	leading company
タグマッチ	tag match
コンパルソリーフィギュア	compulsory figure
トランジスタラジオ	transistor radio
カーナビゲーションシステム	car navigation system
フィッシングキャット	fishing cat
アドミッションフリー	admission free
ダイバーウォッチ	diver watch
ヒップパッド	hip pad
オンランプ	on ramp
ランニングマシン	running machine
イスラエルロビー	israel lobby
チリコンカルネ	chili con carne
デスメタル	death metal
バックアタック	back attack
マウスポインター	mouse pointer
カーボンロッド	carbon rod
サービスバルコニー	service balcony
ブーツサンダル	boot sandal
シールドガス	shield gas
クリティカルエラー	critical error
デスクワーク	desk work
ピーチメルバ	peach melba
ビジターフィー	visitor fee
ミルクシャーク	milk shark
ヌードショー	nude show
ラインアウト	line out
アタックライン	attack line
エンマーク	yen mark
ウイニングラン	winning run
パッチテスト	patch test
ファンクションキー	function key
ミニブログ	mini blog
ディレクターズチェア	director's chair
ジュニアフライ	junior fly
ハッシュアルゴリズム	hash algorithm
ブラインドカーボンコピー	blind carbon copy
ハーフウエイライン	halfway line
エディトリアルデザイン	editorial design
ゴールポスト	goal post
ケミカルリサイクル	chemical recycle
クリックレート	click rate
ハンディスキャナー	handy scanner
インジケータランプ	indicator light
メークイン	may queen
ネービーブルー	navy blue
スタンバイファイル	standby file
グリーンアーキテクチャー	green architecture
シャツブラウス	shirts blouse
シルエットパズル	silhouette puzzle
プレゼンテーションコンテキスト	presentation context
フロッピーディスク	floppy disk
シューティングレンジ	shooting range
ソーダクラッカー	soda cracker
インデックスファイル	indexed file
パーティピープル	party people
タワークレーン	tower crane
イヤーウォーマ	ear warmer
スチールネールファイル	steel nail file
フライトテスト	flight test
クリーンエネルギー	clean energy
マルディグラ	mardi gras
イベントクラス	event class
ブッシュドクトリン	bush doctrine
ビニルシート	vinyl sheet
テクニカルリハーサル	technical rehearsal
ルアーフィッシング	lure fishing
エアダスター	air duster
クリアバンド	clear band
ソフトフォント	soft font
スイングバイ	swing by
イグニッションコイル	ignition coil
パッシングショット	passing shot
フィナカップ	fina cup
アイデンティティークライシス	identity crisis
デーライトタイプ	daylight type
クールボックス	cool box
イレギュラーバウンド	irregular bound
チャイナリスク	china risk
モノクロームモニタ	monochrome monitor
アフロカリビアン	afro caribbean
ポーラーフロント	polar front
カントリーウオーク	country walk
ランウェイショー	runway show
チキンフライ	chicken fried
エアターミナル	air terminal
コマーシャルメッセージ	commercial message
クールジャズ	cool jazz
スタッグパーティー	stag party
ツインカム	twin cam
レクイエムシャーク	requiem shark
スケーリングファクター	scaling factor
フェッチサイクル	fetch cycle
ビニールクロス	vinyl cloth
メールニュース	mail news
サラリーマン	salary man
オンジエア	on the air
ファストセレクト	fast select
ブリリアントカット	brilliant cut
チョコレートブラウニー	chocolate brownie
バックオフィス	back office
ソーシャルスキルズトレーニング	social skills training
バックチャージ	back charge
レートベース	rate base
ボディボード	body board
チェスセット	chess set
ワイヤーロープ	wire rope
ダイヤルパッド	dial pad
ヒートパイプ	heat pipe
イブニングドレス	evening dress
ワンマイルウェア	one mile wear
フルタイマー	full timer
ファイブスター	five star
シングルベッド	single bed
バスチェアー	bath chair
チーフオフィサー	chief officer
サラーリマン	salary man
エレクトロニックサウンド	electronic sound
リピートキー	repeat key
ピンポン	ping pong
ストアコントローラ	store controller
プリントプレビュー	print preview
マッチポイント	match point
アナログジョイスティック	analog joystick
アパーチャグリル	aperture grille
グレーンウイスキー	grain whisky
ファーストファッション	fast fashion
ワンウェー	one way
ピートモス	peat moss
リゾートウェア	resort wear
システムキッチン	system kitchen
グラスウール	glass wool
ウーリーコットン	woolly cotton
トリックアート	trick art
セミヌード	semi nude
シューティングゲーム	shooting game
ビクトリーラン	victory run
ファーストカラー	fast color
バインドタイム	bind time
ルートサーバ	route server
ステーションワゴン	station wagon
モダンボーイ	modern boy
グリルカバー	grill cover
インターフェイスメッセージプロセッサー	interface message processor
バースデーケーキ	birthday cake
ベルトコンベヤ	belt conveyor
ワンシーン	one scene
カメラワーク	camera work
ニューエコノミー	new economy
インタラクティブボタン	interactive button
シフトレジスタ	shift register
モーニングカップ	morning cup
ジムクロー	jim crow
パラアイスホッケー	para ice hockey
オープンドア	open door
パワーシェアリング	power sharing
ロケットランチャー	rocket launcher
イメージダウン	image down
サウンドノベル	sound novel
プライムレート	prime rate
メニューオプション	menu option
ハイコントラスト	high contrast
リピータハブ	repeater hub
ホビークラフト	hobby craft
バーストデータ	burst data
リスクマネージメント	risk management
テストメール	test mail
レイトレーシング	ray tracing
オーサリングツール	authoring tool
ワンオブゼム	one of them
サクリファイスヒット	sacrifice hit
モビールホーム	mobile home
デザイナーベビー	designer baby
コンフォートシューズ	comfort shoes
ディシジョンポイント	decision point
スローダンス	slow dance
エレクトリックベース	electric bass
マタニティブルー	maternity blue
ハッシュドポテト	hashed potato
ビキニライン	bikini line
ダイヤモンドカーソル	diamond cursor
トップファッション	top fashion
セキュリティログ	security log
フォローアップ	follow up
シルバースキャット	silver scat
レイムダック	lame duck
テクニカルライター	technical writer
トリプルアクセル	triple axel
テールフィン	tail fin
フェアキャッチ	fair catch
カジノゲーム	casino game
スウィートホーム	sweet home
カクテルグラス	cocktail glass
カーテンウオール	curtain wall
バンヤンツリー	banyan tree
ゼネラルスタッフ	general staff
ソフトエネルギーパス	soft energy path
リーファーコンテナー	reefer container
インターフェースアダプタ	interface adapter
デジタルディバイド	digital divide
ベースギター	bass guitar
プラトニックラブ	platonic love
ラブレター	love letter
テキストエディタ	text editor
ガードバンド	guard band
オーナードライバー	owner driver
ジプシールック	gypsy look
グアテマラシティ	guatemala city
インフラストラクチャモード	infrastructure mode
アナログコンピューター	analog computer
ジャンクメール	junk mail
システムアナリスト	system analyst
キャラクタマップ	character map
リスクファイナンス	risk finance
マススタート	mass start
コピーバンド	copy band
アクアポリス	aqua polis
アメリカンプラン	american plan
エキゾーストマニホールド	exhaust manifold
カッティングボード	cutting board
ヒットソング	hit song
ダブルミーニング	double meaning
フィールドテスト	field test
モラルハラスメント	moral harassment
ボディーボード	body board
サーチパス	search path
ダマスクローズ	damask rose
ポーセリンアート	porcelain art
ミッドティア	mid tier
フェースオフ	face off
ドゥイットユアセルフ	do it yourself
イグニッションキー	ignition key
コミックブック	comic book
ゲームセンター	game center
ライバルチーム	rival team
ゴールデンアワー	golden hour
プレーヤーキャラクター	player character
キャッシュレジスター	cash register
ナショナルセキュリティー	national security
ハンディークリーナー	handy cleaner
ローカット	low cut
オープンセール	open sale
マスクロム	mask rom
ルビーカベルネ	ruby cabernet
オーロラソース	aurora sauce
コマーシャルパッケージ	commercial package
メカニカルマウス	mechanical mouse
パリティビット	parity bit
レッツラゴー	let's go
ウェブストア	web store
デジタルクーポン	digital coupon
チケットショップ	ticket shop
ラスタースキャン	raster scan
ケータリングカー	catering car
ボートマン	boat man
ヒートシンク	heat sink
ウエストコースト	west coast
セットプレー	set play
パブリックドメインソフト	public domain soft
ロースクール	law school
メイルサーバ	mail server
スライドマスタ	slide master
メールシステム	mail system
スクイズバント	squeeze bunt
タスマニアタイガー	tasmania tiger
フリーメール	free mail
データフロー	data flow
アイスホッケー	ice hockey
スーパバイザコール	supervisor call
ストリートエンゼル	street angel
プロトコルアナライザ	protocol analyzer
ソフトキャンディ	soft candy
ブレンドコーヒー	blend coffee
レフェリーポジション	referee position
ヒッピースタイル	hippie style
クリーンアップトリオ	cleanup trio
アレルギーテスト	allergy test
アールブリュット	art brut
プロポーショナルフォント	proportional font
エキストラホール	extra hole
オートロックマンション	auto lock mansion
ブラインシュリンプ	brine shrimp
スーパーアンビュランス	super ambulance
トラベルウォッチ	travel watch
ミルクレープ	mille crepe
スポーツブラ	sports bra
スターサファイア	star sapphire
トラブルショット	trouble shot
マルチソケット	multi socket
サイバーテロ	cyber terror
グレイエリア	gray area
スイッチングレギュレータ	switching regulator
ノーウエイト	no wait
ラブラドールリトリーバー	labrador retriever
ミストシャワー	mist shower
キャリアディテクト	carrier detect
ミッドセンチュリー	mid century
リングアウト	ring out
クーデタ	coup d'etat
コーラルアイランド	coral island
スタープレイヤー	star player
ハモンドオルガン	hammond organ
ワンバウンド	one bounce
タイプミス	type mis
ベークトアラスカ	baked alaska
フルパワー	full power
ワールドカップ	world cup
ロータリーレース	rotary lathe
バイプレイヤー	by player
アップダウン	up down
マルチプルアクセス	multiple access
ニューメディア	new media
シーラスロジック	cirrus logic
デリートキー	delete key
ポップアート	pop art
アイオーデータ	i o data
シティモール	city mall
ダイヤルゲージ	dial gauge
アイビーリーグ	ivy league
フリーラジカル	free radical
ファッションモデル	fashion model
スキーリフト	ski lift
ワンルームマンション	one room mansion
ゴールデンエージ	golden age
ライフサイエンス	life science
ファクトストア	fact store
マネジメントシミュレーション	management simulation
オフリミット	off limits
ルッツジャンプ	lutz jump
クレジットリスク	credit risk
ナイトラッチ	night latch
レジスタントスターチ	resistant starch
シャインマスカット	shine muscat
セルサイト	cell site
ノーカーボン	no carbon
コーヒーカップ	coffee cup
ハードドライブ	hard drive
カシューナッツ	cashew nuts
ホームバンキング	home banking
デバイススタック	device stack
ミリタリーマーチ	military march
アクティブデスクトップ	active desktop
バーベキューソース	barbecue sauce
ファイルサイズ	file size
ミーンズテスト	means test
フィルハンドル	fill handle
フルスクラッチ	full scratch
リベラルアーツ	liberal arts
ホームオートメーション	home automation
スロットマシン	slot machine
ウエザーマーチャンダイジング	weather merchandising
アマチュアバンド	amateur band
ナチュラルトーン	natural tone
バイライン	by line
ログインシェル	login shell
パワーストーン	power stone
ルートマップ	route map
オフィスコンピューター	office computer
クロスゲーム	close game
コーヒータイム	coffee time
データクラフト	data craft
プライマリマスタ	primary master
ミニマムアクセス	minimum access
ブラックパンサー	black panther
サウンドソース	sound source
ロングスカート	long skirt
コンピューターリテラシー	computer literacy
プロレスリング	pro wrestling
パーリーピーポー	party people
ディレイドスチール	delayed steal
グレーゾーン	gray zone
ナックルフォア	knuckle four
スカイクレーン	sky crane
セルロス	cell loss
ウーマンパワー	woman power
リモートディレクトリ	remote directory
サービスエリア	service area
ベアトップ	bare top
グリーンブック	green book
ケーブルコネクタ	cable connector
トップコート	top coat
ドキュメントオブジェクトモデル	document object model
レストアベース	restore base
グランプリレース	grand prix race
テクニカルダイビング	technical diving
マージナルスポーツ	marginal sports
スパゲティミートソース	spaghetti meat sauce
フォンコンファレンス	phone conference
コマーシャルソング	commercial song
ホールドタイム	hold time
ジャストミート	just meet
ライスプディング	rice pudding
ハウスシェア	house share
コンゲーム	con game
フーズヒー	who's he
ディスクパック	disk pack
サエラ	ca et la
ウィンドシア	wind shear
サラダオイル	salad oil
フルサイズ	full size
ビデオカメラ	video camera
フィギュアスケート	figure skate
レモンスカッシュ	lemon squash
エボラウイルス	ebola virus
ヒューマンリソース	human resource
オーバーフロールート	overflow route
クリスチャンロック	christian rock
アイリッシュコーヒー	irish coffee
ロングトン	long ton
フルーツドロップ	fruits drops
サマリープロジェクト	summary project
ハイアマチュア	high amateur
ゲームブック	game book
エスニックファッション	ethnic fashion
クイックスタイル	quick style
カードエッジコネクタ	card connector
ガールハント	girl hunt
アップリンクライセンス	uplink license
オフィシャルレコード	official record
テンナイン	ten nine
サービスライン	service line
ゼロウェイスト	zero waste
マタニティーブラ	maternity bra
コレクションビル	collection bill
ロングシュート	long shot
テークバック	take back
シートフィルム	sheet film
デスクトッププレゼンテーション	desktop presentation
ハイキングコース	hiking trail
フェースシールド	face shield
キーバッファ	key buffer
ストアドライバ	store driver
キセノンアークランプ	xenon arc lamp
ビジネスリーダーシップ	business leadership
オープンマネーマーケット	open money market
フライングヒル	flying hill
コンピュータアート	computer art
カードプロテクター	card protector
スタンダードテスト	standard test
フラットベッドスキャナ	flatbed scanner
スクリーンキャプチャー	screen capture
カントリーミュージック	country music
ビデオレコーダー	video recorder
マーケットシェア	market share
スモールタウン	small town
ネットショップ	net shop
コンクリートパイル	concrete pile
インテリアデザイナー	interior designer
タックイン	tuck in
イーメールアドレス	e mail address
プロセスカラー	process color
クロスセリング	cross selling
ソーイングセット	sewing set
コミックリリーフ	comic relief
ベクトルラベル	vector label
フェースパウダー	face powder
リーンバーン	lean burn
インフォメーションギャプ	information gap
ワンススルー	once through
オンラインシステム	online system
イースタエッグ	easter egging
ココナツミルク	coconut milk
カーボンデーティング	carbon dating
ライトボタン	light button
キャッチフォン	catch phone
マーケットアウェアネス	market awareness
スカルプトリートメント	scalp treatment
メイルオーダー	mail order
ミモザサラダ	mimosa salad
ダイレクトメール	direct mail
コレクトコール	collect call
クーリエサービス	courier service
アームライト	arm light
コードコンバータ	code converter
プラスチックケース	plastic case
メインメニュー	main menu
スチームローラー	steam roller
エアドーム	air dome
スノーダンプ	snow dump
グラウンドゼロ	ground zero
ハリケーンカトリーナ	hurricane katrina
ハードワーク	hard work
ノーメイク	no make
ボイスメールボックス	voice mail box
サブリミナルメッセージ	subliminal message
シングルカット	single cut
ナショナルインタレスト	national interest
ラブオブザグリーン	rub of the green
ディファレンシャルギア	differential gear
バッテリパック	battery pack
チョッピングツール	chopping tool
テーパーゲージ	taper gauge
オリジナルブランド	original brand
コレクティブアンコンシャス	collective unconscious
ベーシックディスク	basic disk
スイッチングテーブル	switching table
スタンダードモード	standard mode
レーザープリンタ	laser printer
セックスストライキ	sex strike
ピストンポンプ	piston pump
スロースリップ	slow slip
ニューアーバニズム	new urbanism
スプレッドシートプログラム	spreadsheet program
シートパイル	sheet pile
コンボボックス	combo box
エコビジネス	eco business
レモングラス	lemon grass
イエローフラッグ	yellow flag
コールセンター	call center
ビジネスアナリスト	business analyst
マスターファイル	master file
オイルカラー	oil color
ダークゴーストフィッシュ	dark ghost fish
プロダクトプレイスメント	product placement
グラスジョー	glass jaw
ロールケーキ	roll cake
コテージチーズ	cottage cheese
ハーフスイング	half swing
レガシーデバイス	legacy device
パナマニアンサージャント	panamanian sergeant
スタックセグメント	stack segment
グループダイナミックス	group dynamics
パーキングドライバー	parking driver
アプリケーションノート	application note
エアハンマー	air hammer
ユーザマニュアル	user manual
ヤングマン	young man
メモリサイクルタイム	memory cycle time
トークライブ	talk live
ハードソース	hard sauce
ドアチャイム	door chime
クイックパン	quick bread
ノークラッチ	no clutch
デジタルテレビジョン	digital television
アンダースキル	under skill
イーズィン	e zine
キャビネットファイル	cabinet file
フライトバッグ	flight bag
トムソンガゼル	thomson gazelle
ワーキングママ	working mama
クリスタルマイクロホン	crystal microphone
トラブルシューティング	trouble shooting
プロキシサーバー	proxy server
ディストリビューターキャップ	distributor cap
バミストン	pumice stone
ウエブサイト	web site
ラインプリンター	line printer
システムソフトウエア	system software
ハイティー	high tea
タイスキ	thai suki
ユーザエージェント	user agent
シルバークラウン	silver crown
メゾソプラノ	mezzo soprano
バスガール	bus girl
ノーリターン	no return
デインデート	day and date
ダイレクトタッチ	direct touch
ロービーム	low beam
ミュージックビデオ	music video
アニマルライツ	animal rights
アイコニックインタフェース	iconic interface
テーラードスーツ	tailored suit
ポーカーフェイス	poker face
ドッジライン	dodge line
ユニオンクエリ	union query
コードレスホン	cordless phone
アルカイーダ	al qaeda
イマジナリーフレンド	imaginary friend
クールアイランド	cool island
シフトキー	shift key
プレイモード	play mode
バリトンサキソホン	baritone saxophone
スパークリングワイン	sparkling wine
ジンジャーケーキ	ginger cake
プロジェクトタスク	project task
トークンキュー	token queue
フロアマネージャー	floor manager
ブリーフケースコンピュータ	briefcase computer
パラレルローン	parallel loan
ガイガーカウンター	geiger counter
ドルフィンキック	dolphin kick
クエリデザイン	query design
システムアプリケーションアーキテクチャ	system application architecture
カクテルラウンジ	cocktail lounge
セブンブリッジ	seven bridge
モーターバイシクル	motor bicycle
ボンボワイヤージュ	bon voyage
ボジョレーヌーヴォー	beaujolais nouveau
メタルフレーム	metal frame
シュガーカット	sugar cut
ゲージタイ	gauge tie
メーンゲート	main gate
ユースマーケット	youth market
ピンクスライム	pink slime
スーパークールビズ	super cool biz
イーストコースト	east coast
バウチャーシステム	voucher system
ウィンザーチェア	windsor chair
ファセットシソーラス	facet thesaurus
ミラードライブ	mirrored drives
カーフェリー	car ferry
ミドルクラス	middle class
ハンギングプラント	hanging plant
プッシュプル	push pull
ジェネレーションギャップ	generation gap
チープガバメント	cheap government
ショットガンブライド	shotgun bride
カートリッジテープドライブ	cartridge tape drive
ドットプリンター	dot printer
マスセール	mass sale
セットポジション	set position
ランジェリーパブ	lingerie pub
クレジットファシリティ	credit facility
インビトロ	in vitro
ニューレイヤーズルック	new layers look
テープカット	tape cut
ルートボックス	loot box
パワーハラスメント	power harassment
プラントベース	plant base
セキュリティホール	security hole
ローテーブル	low table
モデルカー	model car
ファンシーショップ	fancy shop
ターミナルケア	terminal care
スーパーカレンダー	super calendar
サンタクロース	santa claus
ツールセット	tool set
ウォータースポーツ	water sports
ストックキャラクター	stock character
アピーズメントポリシー	appeasement policy
レアケース	rare case
システムイベント	system event
ベースコーチ	base coach
イエローケーブル	yellow cable
ソルベンシーマージン	solvency margin
ウォークインクロゼット	walk-in closet
アダプテーションレイヤ	adaptation layer
ウッドデッキ	wood deck
オンライントレーディング	online trading
ニューエイジ	new age
ソウルジャズ	soul jazz
マイクロシステムズ	micro systems
ホームクッキング	home cooking
ガードケーブル	guard cable
レイクトラウト	lake trout
プレーガイド	play guide
トランザクションテキスト	transaction text
ドメインネーム	domain name
バッジテスト	badge test
オブジェクトコード	object code
トリックプレー	trick play
ソフトウェアスタック	software stack
ディグリーデー	degree day
デジタルキャッシュ	digital cash
メッセージタイプ	message type
エンドシステム	end system
フォトリアリズム	photo realism
スナッフボトル	snuff bottle
ファイルパーミッション	file permission
ストリートライブ	street live
バーテックスシェーダ	vertex shader
ウォータークーラー	water cooler
シベリアンハスキー	siberian husky
フロアプラン	floor plan
プッシュアップ	push up
ベネチアンブラインド	venetian blind
ハズバンドハント	husband hunt
トリミングポイント	trim point
ヌーヴォーロマン	nouveau roman
デジタルスチルカメラ	digital still camera
アイボリーブラック	ivory black
アブストラクトアート	abstract art
コストアップ	cost up
エアサービス	air service
グラフィックスプロセシングユニット	graphics processing unit
ロストクラスタ	lost cluster
サイドブレーキ	side brake
コンピューターワクチン	computer vaccine
フォービート	four beat
バイポーラトランジスタ	bipolar transistor
ハイピッチ	high pitch
ロックバンド	rock band
トラヒックエンジニアリング	traffic engineering
バッチサイズ	batch size
セーフティーボックス	safety box
レースクィーン	race queen
ロールボストン	roll boston
シンビン	sin bin
ロストボール	lost ball
ハイヒール	high heel
パンケーキレンズ	pancake lens
エアプランツ	air plants
アートフォトグラフィー	art photography
ウーリーナイロン	woolly nylon
カーテンリング	curtain ring
ヤンママ	young mama
フォッグランプ	fog lamp
ハンガーノック	hunger knock
ソリッドギター	solid guitar
インターネットカフェ	internet cafe
モナミ	mon ami
スクラッチレース	scratch race
リボンマイクロホン	ribbon microphone
アイスウォーター	ice water
プライマリサイト	primary site
ニュータイプ	new type
シグナリングメカニズム	signalling mechanism
コーナートップ	corner top
フォトライブラリー	photo library
オントレード	on trade
メーンシャフト	main shaft
ハーバルバス	herbal bath
コーヒーミル	coffee mill
キークラブ	key club
ビオラダガンバ	viola da gamba
リンクリダイレクト	link redirect
ディナーセット	dinner set
トレーラーバス	trailer bus
ウーリーモンキー	woolly monkey
ダブルスタンダード	double standard
メーターバイザー	meter visor
テキストフォーマット	text format
ループタイ	loop tie
ボディーブロー	body blow
ハイキューブ	high cube
クローズドスタンス	closed stance
コーテーションマーク	quotation mark
スノーノイズ	snore noise
ガウチョハット	gaucho hat
ダークスーツ	dark suits
ワールドワイドウェッブ	world wide web
ウエディングケーキ	wedding cake
プレイマット	play mat
オーサリングプログラム	authoring program
キュービジョン	q vision
プアーホワイト	poor white
キャッシュファイル	cache file
エンドユーザーコンピューティング	end user computing
インターネットサービス	internet service
モーゲージローン	mortgage loan
サーキットエミュレーションサービス	circuit emulation service
ジャムセッション	jam session
サザンソウル	southern soul
ノンバイナリー	non binary
ティグラウンド	tee ground
リスキーシフト	risky shift
バッチプログラム	batch program
リズムギター	rhythm guitar
ブリティッシュコロンビア	british columbia
シュリンクラップ 	shrink wrap
ストリーマーフライ	streamer fly
カントリースクール	country school
マルチタッチ	multi touch
ロードポイント	load point
レジデンシャルホテル	residential hotel
ブラックマーケット	black market
オブジェクトモジュール	object module
トンキロ	ton kilo
オンラインレッスン	online lesson
システムプロンプト	system prompt
ファイルアダプタ	file adapter
ストップビット	stop bit
ロードバランシング	load balancing
メジャーアップグレード	major upgrade
ハムエッグ	ham egg
インナートリップ	inner trip
ウエストポイント	west point
レジャーウエア	leisure wear
バケツハット	bucket hat
ソークワクチン	salk vaccine
ウィッシュリスト	wish list
オフィスガール	office girl
ドラムセット	drum set
イレブンナイン	eleven nine
ジーンズジャンパー	jean jumper
ユーラシアプレート	eurasia plate
ファッションドーナツ	fashion doughnut
ミックスサンド	mix sand
プレーンオムレツ	plain omelet
ポリティカルアパシー	political apathy
テニスプレイヤー	tennis player
ターミナルビル	terminal building
デバッグフラグ	debug flag
アクションリサーチ	action research
オープンデータ	open data
インジゴカーマイン	indigo carmine
フルスクリーン	full screen
ライトバック	write back
コピープログラム	copy program
ノルディックスキー	nordic ski
モールドカップブラ	mold cup bra
コミュニケーションシステム	communication system
シンボルマップ	symbol map
ニットタイ	knit tie
エンドオブテキスト	end of text
クロスライセンス	cross license
ベルトコンベア	belt conveyor
カタログプロパティ	catalog property
ブルートレイン	blue train
パラレルコネクタ	parallel connector
ニューロコンピュータ	neuro computer
アイアンメイデン	iron maiden
マキシシングル	maxi single
シンフォニックロック	symphonic rock
フレームリレー	frame relay
メインシリーズ	main series
ドライジン	dry gin
カタログショッピング	catalog shopping
バックダンサー	back dancer
トータルシステム	total system
ダイナミックプログラミング	dynamic programming
ユニバーサルシリアルバス	universal serial bus
ピザトースト	pizza toast
シリアルマウス	serial mouse
ミッドナイトブルー	midnight blue
マーレーコッド	murray cod
ワンステップ	one step
スーパーボール	super ball
ウェストポーチ	waist pouch
グラフィックスコプロセッサ	graphics coprocessor
ネームロンダリング	name laundering
ミーティングルーム	meeting room
コンピュータービジョン	computer vision
オンラインモニタ	online monitor
カラープランニング	color planning
ラジオボタン	radio button
サーフェスモデル	surface model
エレクトリカルキー	electrical key
ライフセービング	life saving
プロテクトメモリー	protected memory
フェールセーフ	fail safe
ストレスコントロール	stress control
ガンクラブチェック	gun club check
バルーンシャーク	balloon shark
クレンジングジェル	cleansing gel
ハイウェーパトロール	highway patrol
ゴールエリア	goal area
ピーメイル	p mail
イメージメーカー	image maker
アイスバーン	icy bahn
システムデザイン	system design
ハンディームック	handy mook
パケットアナライザ	packet analyzer
バイオレンスゲーム	violence game
マスターコード	master code
ネットワークアドレス	network address
ハッシュドビーフ	hashed beef
アイスダイビング	ice diving
フィジカルフィットネス	physical fitness
クイズマニア	quiz mania
フィルムスピード	film speed
コルテツエンゼル	cortez angel
ソフトウェアスクロール	software scroll
アートスタジオ	art studio
プロジェクトタイプ	project type
コンパクトディスク	compact disc
メッセージングサービス	messaging service
ウィンタースポーツ	winter sports
バブルソート	bubble sort
ファイルセット	file set
リストインデックス	list index
デザートワイン	dessert wine
パワーランチ	power lunch
ワークシェリング	work sharing
ソーラーポンド	solar pond
サポートセンター	support center
エロチックゲーム	erotic game
サウンドボード	sound board
アクスルスタンド	axle stand
トゥシューズ	toe shoes
システムアドミニストレーター	system administrator
ベンチャービジネス	venture business
ハッピーエンド	happy end
ノーミス	no mis
キーカスタマイズ	key customize
ビットパリティ	bit parity
ビーチコート	beach coat
コストダウン	cost dawn
ジャパンソサエティー	japan society
オリジナルプログラム	original program
ロールインジケータ	role indicator
ローファイ	lo fi
コミュニティセンター	community center
ギブアンドテーク	give and take
サブマリンロケット	submarine rocket
アメリカミンク	american mink
オフトラック	off track
ベビーゴルフ	baby golf
コブラツイスト	cobra twist
カメラルポルタージュ	camera reportage
スポーツファン	sports fan
モードインジケータ	mode indicator
ビジネスセンター	business center
エージェントオレンジ	agent orange
ビデオショップ	video shop
セルフプレジャー	self pleasure
スタティックメモリ	static memory
ロリータファッション	lolita fashion
ホットサンドメーカー	hot sand maker
オートプレーヤー	auto player
シープドッグ	sheep dog
リーキバケット	leaky bucket
サイレントチェーン	silent chain
ソイルセメント	soil cement
クワドラントカードスロット	quadrant card slot
プライマリキャッシュ	primary cache
デタレントギャップ	deterrent gap
グローバルアドレス	global address
ヌーヴォロマン	nouveau roman
スコッチエッグ	scotch egg
ホットスワップ	hot swap
ミルキーハット	milky hat
エランヴィタル	elan vital
ブラックマンデー	black monday
オイルパック	oil pack
ロールサンド	roll sand
イベントホール	event hall
リクルートスーツ	recruit suit
オイルサンド	oil sand
スクリーンイメージバッファ	screen image buffer
フェアボール	fair ball
ワインドアップポジション	windup position
リビングルーム	living room
カードデック	card deck
ミスアンドアウトレース	miss and out race
